2022-04-24 00:21:29,640 [main] INFO  domain.SendContent - cloud-academy-s3-bucket
2022-04-24 00:21:29,641 [main] INFO  domain.SendContent - griffindor-bucket
2022-04-24 00:21:29,641 [main] INFO  domain.SendContent - hufflepuff-bucket
2022-04-24 00:21:29,641 [main] INFO  domain.SendContent - kafka-lambda3-jar-bucket
2022-04-24 00:21:29,641 [main] INFO  domain.SendContent - mera-debian-bucket
2022-04-24 00:21:29,641 [main] INFO  domain.SendContent - ravenclaw-bucket
2022-04-24 00:21:29,641 [main] INFO  domain.SendContent - slytherin-bucket
2022-04-24 00:21:29,641 [main] INFO  domain.SendContent - springstarterwebbucket
2022-04-24 00:21:29,641 [main] INFO  domain.SendContent - textract-console-ap-south-1-2bebb4ae-1263-4264-a53c-b5d2c889380
2022-04-24 00:21:30,674 [main] INFO  domain.SendContent - S3ObjectSummary{bucketName='cloud-academy-s3-bucket', key='Akshata/', eTag='d41d8cd98f00b204e9800998ecf8427e', size=0, lastModified=Fri Apr 15 04:51:19 IST 2022, storageClass='STANDARD', owner=null}
2022-04-24 00:21:30,674 [main] INFO  domain.SendContent - S3ObjectSummary{bucketName='cloud-academy-s3-bucket', key='Akshata/test.txt', eTag='fb7052d634deeec0907f134f0f0dc4aa', size=85, lastModified=Fri Apr 15 17:44:05 IST 2022, storageClass='STANDARD', owner=null}
2022-04-24 00:21:30,674 [main] INFO  domain.SendContent - S3ObjectSummary{bucketName='cloud-academy-s3-bucket', key='Akshata/text.txt', eTag='754a33d6510cc51a0c61d9b69249179c', size=38, lastModified=Sat Apr 23 21:31:01 IST 2022, storageClass='STANDARD', owner=null}
2022-04-24 00:21:30,675 [main] INFO  domain.SendContent - S3ObjectSummary{bucketName='cloud-academy-s3-bucket', key='Christopher/', eTag='d41d8cd98f00b204e9800998ecf8427e', size=0, lastModified=Sat Apr 23 21:10:37 IST 2022, storageClass='STANDARD', owner=null}
2022-04-24 00:21:30,675 [main] INFO  domain.SendContent - S3ObjectSummary{bucketName='cloud-academy-s3-bucket', key='Darren/', eTag='d41d8cd98f00b204e9800998ecf8427e', size=0, lastModified=Fri Apr 15 04:51:42 IST 2022, storageClass='STANDARD', owner=null}
2022-04-24 00:21:30,675 [main] INFO  domain.SendContent - S3ObjectSummary{bucketName='cloud-academy-s3-bucket', key='Edwin/', eTag='f60ca98d1fcc9276f9a39c494f90a262', size=31, lastModified=Sat Apr 23 18:52:50 IST 2022, storageClass='STANDARD', owner=null}
2022-04-24 00:21:30,675 [main] INFO  domain.SendContent - S3ObjectSummary{bucketName='cloud-academy-s3-bucket', key='Farhan/', eTag='cff9f25e6e9173f481d1618c7241318b', size=13, lastModified=Sun Apr 24 00:21:31 IST 2022, storageClass='STANDARD', owner=null}
2022-04-24 00:21:30,675 [main] INFO  domain.SendContent - S3ObjectSummary{bucketName='cloud-academy-s3-bucket', key='Farhan/hello.txt', eTag='df1ea95e605f5d180b19d2432e4506d1', size=1021, lastModified=Sat Apr 23 18:09:32 IST 2022, storageClass='STANDARD', owner=null}
2022-04-24 00:21:30,675 [main] INFO  domain.SendContent - S3ObjectSummary{bucketName='cloud-academy-s3-bucket', key='Farhan/hello2.txt', eTag='d193b197893834ca58e53994341caabf', size=1026, lastModified=Sat Apr 23 18:13:43 IST 2022, storageClass='STANDARD', owner=null}
2022-04-24 00:21:30,675 [main] INFO  domain.SendContent - S3ObjectSummary{bucketName='cloud-academy-s3-bucket', key='Farhan/mssg.txt', eTag='e9b1c73b84ff2b6b2d8de694c18b95cf', size=14, lastModified=Sat Apr 23 20:55:20 IST 2022, storageClass='STANDARD', owner=null}
2022-04-24 00:21:30,675 [main] INFO  domain.SendContent - S3ObjectSummary{bucketName='cloud-academy-s3-bucket', key='Gregory/', eTag='d41d8cd98f00b204e9800998ecf8427e', size=0, lastModified=Fri Apr 15 04:49:42 IST 2022, storageClass='STANDARD', owner=null}
2022-04-24 00:21:30,675 [main] INFO  domain.SendContent - S3ObjectSummary{bucketName='cloud-academy-s3-bucket', key='KP/', eTag='d41d8cd98f00b204e9800998ecf8427e', size=0, lastModified=Fri Apr 15 04:50:15 IST 2022, storageClass='STANDARD', owner=null}
2022-04-24 00:21:30,675 [main] INFO  domain.SendContent - S3ObjectSummary{bucketName='cloud-academy-s3-bucket', key='Laurel/', eTag='d41d8cd98f00b204e9800998ecf8427e', size=0, lastModified=Fri Apr 15 04:50:24 IST 2022, storageClass='STANDARD', owner=null}
2022-04-24 00:21:30,675 [main] INFO  domain.SendContent - S3ObjectSummary{bucketName='cloud-academy-s3-bucket', key='Loukik/', eTag='d41d8cd98f00b204e9800998ecf8427e', size=0, lastModified=Fri Apr 15 04:51:09 IST 2022, storageClass='STANDARD', owner=null}
2022-04-24 00:21:30,675 [main] INFO  domain.SendContent - S3ObjectSummary{bucketName='cloud-academy-s3-bucket', key='Pratik/', eTag='f60ca98d1fcc9276f9a39c494f90a262', size=31, lastModified=Sat Apr 23 23:42:54 IST 2022, storageClass='STANDARD', owner=null}
2022-04-24 00:21:30,675 [main] INFO  domain.SendContent - S3ObjectSummary{bucketName='cloud-academy-s3-bucket', key='Pratik/AbuseFromEdwin.txt', eTag='af47db62fda7126e1c4f9d049d646a58', size=3268, lastModified=Sat Apr 23 19:36:17 IST 2022, storageClass='STANDARD', owner=null}
2022-04-24 00:21:30,675 [main] INFO  domain.SendContent - S3ObjectSummary{bucketName='cloud-academy-s3-bucket', key='Sanchita/', eTag='d41d8cd98f00b204e9800998ecf8427e', size=0, lastModified=Fri Apr 15 04:51:01 IST 2022, storageClass='STANDARD', owner=null}
2022-04-24 00:21:30,675 [main] INFO  domain.SendContent - S3ObjectSummary{bucketName='cloud-academy-s3-bucket', key='Sanket/', eTag='d41d8cd98f00b204e9800998ecf8427e', size=0, lastModified=Fri Apr 15 04:50:04 IST 2022, storageClass='STANDARD', owner=null}
2022-04-24 00:21:30,675 [main] INFO  domain.SendContent - S3ObjectSummary{bucketName='cloud-academy-s3-bucket', key='Shreya/', eTag='d41d8cd98f00b204e9800998ecf8427e', size=0, lastModified=Fri Apr 15 04:49:53 IST 2022, storageClass='STANDARD', owner=null}
2022-04-24 00:21:30,675 [main] INFO  domain.SendContent - S3ObjectSummary{bucketName='cloud-academy-s3-bucket', key='Shreya/text.txt', eTag='33607075a1e77577dac7efc6efadc1ca', size=9, lastModified=Sat Apr 23 21:41:08 IST 2022, storageClass='STANDARD', owner=null}
2022-04-24 00:21:30,675 [main] INFO  domain.SendContent - S3ObjectSummary{bucketName='cloud-academy-s3-bucket', key='Shriya/', eTag='d41d8cd98f00b204e9800998ecf8427e', size=0, lastModified=Fri Apr 15 04:51:29 IST 2022, storageClass='STANDARD', owner=null}
2022-04-24 00:21:30,675 [main] INFO  domain.SendContent - S3ObjectSummary{bucketName='cloud-academy-s3-bucket', key='Snehal/', eTag='d41d8cd98f00b204e9800998ecf8427e', size=0, lastModified=Fri Apr 15 04:51:54 IST 2022, storageClass='STANDARD', owner=null}
2022-04-24 00:21:30,676 [main] INFO  domain.SendContent - S3ObjectSummary{bucketName='cloud-academy-s3-bucket', key='test.txt', eTag='754a33d6510cc51a0c61d9b69249179c', size=38, lastModified=Sat Apr 23 19:14:43 IST 2022, storageClass='STANDARD', owner=null}
